Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF","C_1210_3225Metric",125.000000,-92.000000,0.000000,top
"C2","10uF","C_0805_2012Metric",125.000000,-102.000000,0.000000,top
"C3","100nF","C_0402_1005Metric",168.000000,-105.000000,0.000000,top
"C4","100nF","C_0402_1005Metric",128.000000,-135.000000,0.000000,top
"C5","100nF","C_0402_1005Metric",130.000000,-90.000000,0.000000,top
"C6","100nF","C_0402_1005Metric",134.000000,-90.000000,0.000000,top
"C7","100nF","C_0402_1005Metric",130.000000,-94.000000,0.000000,top
"C8","100nF","C_0402_1005Metric",134.000000,-94.000000,0.000000,top
"F1","2A","Fuse_1812_4532Metric",115.000000,-92.000000,0.000000,top
"J4","USB_DEBUG","USB_Micro-B_Molex_47346-0001",108.000000,-148.000000,0.000000,top
"Q1","SI2301","SOT-23",115.000000,-100.000000,0.000000,top
"R1","120","R_0805_2012Metric",168.000000,-90.000000,90.000000,top
"R2","560","R_0603_1608Metric",172.000000,-90.000000,90.000000,top
"R3","560","R_0603_1608Metric",176.000000,-90.000000,90.000000,top
"R4","2.2k","R_0603_1608Metric",168.000000,-130.000000,90.000000,top
"R5","2.2k","R_0603_1608Metric",172.000000,-130.000000,90.000000,top
"U1","MAX3485","SOIC-8_3.9x4.9mm_P1.27mm",175.000000,-98.000000,0.000000,top
"U2","CP2102N","QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm",118.000000,-135.000000,0.000000,top
